
y	mTm0	 Proton		Deuteron	Pion		Electron
-1.4     0.3625     0.742916 +- 0.00924233      0.130051 +- 0.0177871     0.127034 +- 0.0179731      0  
-1.4     0.3875     0.732754 +- 0.00964979      0.150952 +- 0.0173275     0.116294 +- 0.0194419      0  
-1.4     0.4125     0.728983 +- 0.010009      0.166519 +- 0.0172016     0.104498 +- 0.0211293      0  
-1.4     0.4375     0.725445 +- 0.010321      0.182486 +- 0.0170356     0.0920687 +- 0.0230485      0  
-1.4     0.4625     0.718588 +- 0.0105726      0.203045 +- 0.0166411     0.0783677 +- 0.0253601      0  
-1.4     0.4875     0.720132 +- 0.0108855      0.208886 +- 0.0169438     0.0709819 +- 0.0273584      0  
-1.4     0.5125     0.714453 +- 0.0111981      0.225394 +- 0.0168552     0.0601528 +- 0.0303475      0  
-1.4     0.5375     0.724434 +- 0.0114177      0.220997 +- 0.0173948     0.0545681 +- 0.032533      0  
-1.4     0.5625     0.707815 +- 0.0118291      0.249202 +- 0.0170503     0.0429825 +- 0.0375133      0  
-1.4     0.5875     0.715191 +- 0.0121135      0.250086 +- 0.0174884     0.0347229 +- 0.0427      0  
-1.4     0.6125     0.682319 +- 0.012888      0.282158 +- 0.0174965     0.0355227 +- 0.0443152      0  
-1.4     0.6375     0.684266 +- 0.0131362      0.289104 +- 0.0176805     0.0266301 +- 0.0519874      0  
-1.4     0.6625     0.671459 +- 0.0138476      0.301802 +- 0.0182283     0.0267392 +- 0.0543865      0  
-1.4     0.6875     0.644491 +- 0.0145498      0.336517 +- 0.0181524     0.018992 +- 0.066719      0  
-1.4     0.7125     0.635255 +- 0.0150591      0.344305 +- 0.0185463     0.0204404 +- 0.0663176      0  
-1.4     0.7375     0.569873 +- 0.016565      0.41193 +- 0.0184775     0.0181968 +- 0.0746563      0  
-1.4     0.7625     0.565728 +- 0.0171633      0.418467 +- 0.0189944     0.015805 +- 0.0827094      0  
-1.4     0.7875     0.576261 +- 0.017456      0.407023 +- 0.0196237     0.0167163 +- 0.0823133      0  
-1.4     0.8125     0.601676 +- 0.0180537      0.3837 +- 0.0210129     0.0146239 +- 0.0921682      0  
-1.4     0.8375     0.61507 +- 0.0184847      0.371805 +- 0.0219112     0.0131246 +- 0.100223      0  
-1.4     0.8625     0.60281 +- 0.0193526      0.383537 +- 0.0225413     0.0136524 +- 0.102265      0  
-1.4     0.8875     0.600224 +- 0.0201589      0.385414 +- 0.0234078     0.014362 +- 0.103758      0  
-1.4     0.9125     0.557724 +- 0.0209303      0.434061 +- 0.022764     0.00821511 +- 0.138742      0  
-1.4     0.9375     0.574052 +- 0.02188      0.41409 +- 0.0244177     0.011858 +- 0.122059      0  
-1.4     0.9625     0.481374 +- 0.0237515      0.512371 +- 0.0232615     0.00625438 +- 0.171737      0  
-1.4     0.9875     0.51968 +- 0.0239394      0.471651 +- 0.0247284     0.00866821 +- 0.151013      0  
-1.3     0.1125     0.974065 +- 0.154744      0.0259351 +- 0.683664     0      0  
-1.3     0.1375     0.608035 +- 0.0354927      0.000964133 +- 0.703229     0.382606 +- 0.0414886      0.00839511 +- 0.239198
-1.3     0.1625     0.616949 +- 0.0143193      0.00839265 +- 0.0969537     0.365212 +- 0.0171012      0.00944658 +- 0.0914331
-1.3     0.1875     0.673481 +- 0.0090545      0.0088499 +- 0.0613283     0.304265 +- 0.0118925      0.0134038 +- 0.0499452
-1.3     0.2125     0.717402 +- 0.00757301      0.0105855 +- 0.0478238     0.26942 +- 0.0106243      0.0025932 +- 0.0962405
-1.3     0.2375     0.74539 +- 0.00728327      0.0143157 +- 0.0400638     0.240004 +- 0.0108187      0.000290472 +- 0.279308
-1.3     0.2625     0.771414 +- 0.00724793      0.0168691 +- 0.037135     0.211552 +- 0.0114462      0.00016456 +- 0.372882
-1.3     0.2875     0.803114 +- 0.00731752      0.011242 +- 0.0463177     0.185395 +- 0.0123488      0.000249272 +- 0.309356
-1.3     0.3125     0.823016 +- 0.00743293      0.0129553 +- 0.0441612     0.164029 +- 0.0133043      0  
-1.3     0.3375     0.846932 +- 0.00757071      0.00984874 +- 0.0519126     0.143219 +- 0.0144844      0  
-1.3     0.3625     0.856604 +- 0.00783647      0.018985 +- 0.0389968     0.124411 +- 0.0160024      0  
-1.3     0.3875     0.856952 +- 0.00811724      0.0325976 +- 0.0310355     0.110451 +- 0.0174844      0  
-1.3     0.4125     0.891984 +- 0.00821745      0.0148037 +- 0.0467157     0.093212 +- 0.0193229      0  
-1.3     0.4375     0.888422 +- 0.00861325      0.0228422 +- 0.0395332     0.0887354 +- 0.0206938      0  
-1.3     0.4625     0.890675 +- 0.0088857      0.0338244 +- 0.0337172     0.0755005 +- 0.0230183      0  
-1.3     0.4875     0.869021 +- 0.00947698      0.0635746 +- 0.0264314     0.0674048 +- 0.0257156      0  
-1.3     0.5125     0.818163 +- 0.0100386      0.121074 +- 0.0204913     0.0607629 +- 0.0281363      0  
-1.3     0.5375     0.897715 +- 0.0101533      0.046278 +- 0.0332045     0.0560073 +- 0.030323      0  
-1.3     0.5625     0.758129 +- 0.0111634      0.193475 +- 0.0182069     0.0483963 +- 0.0341193      0  
-1.3     0.5875     0.760447 +- 0.0115359      0.200236 +- 0.0185625     0.039317 +- 0.0389815      0  
-1.3     0.6125     0.72339 +- 0.012206      0.237862 +- 0.0180402     0.0387481 +- 0.0409447      0  
-1.3     0.6375     0.720137 +- 0.0125322      0.24725 +- 0.0182121     0.0326131 +- 0.0456273      0  
-1.3     0.6625     0.686072 +- 0.0132877      0.283532 +- 0.0180344     0.0303963 +- 0.0493503      0  
-1.3     0.6875     0.655871 +- 0.0140938      0.317956 +- 0.0180588     0.0261732 +- 0.0555399      0  
-1.3     0.7125     0.653664 +- 0.014611      0.322511 +- 0.018602     0.0238247 +- 0.0602188      0  
-1.3     0.7375     0.578257 +- 0.0159683      0.402438 +- 0.0180436     0.0193045 +- 0.0702349      0  
-1.3     0.7625     0.596381 +- 0.0163376      0.383249 +- 0.0189711     0.0203699 +- 0.070675      0  
