
y	mTm0	 Proton		Deuteron	Pion		Electron
-0.4     0.5625     0.958939 +- 0.0171453      3.79657e-11 +- 1946.85     0.0410612 +- 0.0604021      0  
-0.4     0.5875     0.953678 +- 0.0187378      1.37619e-10 +- 1115.98     0.0463223 +- 0.0622202      0  
-0.4     0.6125     0.956736 +- 0.0200354      4.57386e-10 +- 655.068     0.0432645 +- 0.0687954      0  
-0.4     0.6375     0.951743 +- 0.0217856      2.33412e-09 +- 314.889     0.0482573 +- 0.0709041      0  
-0.4     0.6625     0.960081 +- 0.0231726      4.77454e-09 +- 234.707     0.0399195 +- 0.0827749      0  
-0.4     0.6875     0.9649 +- 0.0255224      3.84235e-08 +- 91.2418     0.0350998 +- 0.0971249      0  
-0.4     0.7125     0.9599 +- 0.027191      8.65053e-08 +- 64.6992     0.0400998 +- 0.096914      0  
-0.4     0.7375     0.953963 +- 0.0298319      1.47396e-07 +- 54.2932     0.0460366 +- 0.0993598      0  
-0.4     0.7625     1 +- 0.0309044      2.91024e-07 +- 40.508     0      0  
-0.4     0.7875     0.999999 +- 0.0346413      5.52014e-07 +- 32.9689     0      0  
-0.4     0.8125     0.999999 +- 0.0373348      1.22786e-06 +- 23.8245     0      0  
-0.4     0.8375     0.999997 +- 0.0402994      3.47232e-06 +- 15.2923     0      0  
-0.4     0.8625     0.999995 +- 0.0436204      4.86291e-06 +- 13.9871     0      0  
-0.4     0.8875     0.999989 +- 0.0467209      1.14629e-05 +- 9.75774     0      0  
-0.4     0.9125     0.99998 +- 0.0575046      1.96053e-05 +- 9.1834     0      0  
-0.4     0.9375     0.999971 +- 0.056063      2.89872e-05 +- 7.36311     0      0  
-0.4     0.9625     0.99993 +- 0.0601766      6.96095e-05 +- 5.10018     0      0  
-0.4     0.9875     0.999899 +- 0.0660449      0.000100684 +- 4.6543     0      0  
-0.3     0.0625     1 +- 0.00526847      2.29172e-39 +- 7.78195e+16     2.58926e-25 +- 7.3212e+09      4.05163e-15 +- 58526.8
-0.3     0.0875     1 +- 0.00525808      1.81077e-39 +- 8.73737e+16     4.6136e-23 +- 5.47384e+08      1.18593e-11 +- 1079.65
-0.3     0.1125     1 +- 0.00544585      1.92167e-38 +- 2.77787e+16     4.67294e-21 +- 5.63321e+07      3.03466e-09 +- 69.903
-0.3     0.1375     1 +- 0.00580414      1.20483e-36 +- 3.73904e+15     5.54873e-19 +- 5.50968e+06      2.28799e-07 +- 8.58018
-0.3     0.1625     0.999991 +- 0.00621378      1.89291e-34 +- 3.19356e+14     1.26555e-16 +- 390571      9.3183e-06 +- 1.43937
-0.3     0.1875     0.999888 +- 0.0066921      1.55502e-32 +- 3.79461e+13     3.88844e-14 +- 23996.5      0.00011214 +- 0.446869
-0.3     0.2125     0.999356 +- 0.00718749      2.26379e-30 +- 3.37734e+12     1.55839e-11 +- 1287.23      0.000643779 +- 0.200338
-0.3     0.2375     0.997876 +- 0.00774572      1.97317e-28 +- 3.89703e+11     2.29941e-09 +- 114.158      0.00212371 +- 0.118913
-0.3     0.2625     0.99505 +- 0.00835608      1.94217e-26 +- 4.23453e+10     8.89086e-08 +- 19.7914      0.00495012 +- 0.0840839
-0.3     0.2875     0.998444 +- 0.0089585      8.16477e-25 +- 7.00775e+09     1.38303e-06 +- 5.38437      0.00155478 +- 0.160714
-0.3     0.3125     0.997832 +- 0.00968988      4.28181e-23 +- 1.04654e+09     1.52066e-05 +- 1.75612      0.0021523 +- 0.147769
-0.3     0.3375     0.999896 +- 0.0104207      1.47345e-21 +- 1.91956e+08     0.000104384 +- 0.721231      0  
-0.3     0.3625     0.999601 +- 0.0114095      3.06345e-20 +- 4.60895e+07     0.000399357 +- 0.403751      0  
-0.3     0.3875     0.998745 +- 0.0122107      5.726e-19 +- 1.14068e+07     0.00125537 +- 0.243767      0  
-0.3     0.4125     0.997229 +- 0.0131684      8.07542e-18 +- 3.27443e+06     0.00277083 +- 0.177017      0  
-0.3     0.4375     0.994064 +- 0.0142651      1.29113e-16 +- 886395     0.00593564 +- 0.131119      0  
-0.3     0.4625     0.99144 +- 0.0155554      2.30845e-15 +- 228439     0.0085602 +- 0.119135      0  
-0.3     0.4875     0.987986 +- 0.0167883      8.64308e-15 +- 127303     0.0120137 +- 0.108625      0  
-0.3     0.5125     0.983923 +- 0.0181678      9.41907e-14 +- 41688.5     0.0160767 +- 0.101715      0  
-0.3     0.5375     0.972667 +- 0.0199236      9.55196e-13 +- 14314.5     0.0273334 +- 0.0857693      0  
-0.3     0.5625     0.969496 +- 0.0217768      4.31699e-12 +- 7353.6     0.0305043 +- 0.0888045      0  
-0.3     0.5875     0.972062 +- 0.0231927      1.64135e-11 +- 4019.17     0.0279385 +- 0.0987688      0  
-0.3     0.6125     0.979358 +- 0.0247467      6.44701e-11 +- 2167.94     0.020642 +- 0.122402      0  
-0.3     0.6375     0.96551 +- 0.0276941      2.4409e-10 +- 1242.38     0.0344897 +- 0.106303      0  
-0.3     0.6625     0.975845 +- 0.0299652      8.93998e-10 +- 704.307     0.0241552 +- 0.137122      0  
-0.3     0.6875     1 +- 0.0314596      1.11582e-09 +- 665.949     0      0  
-0.3     0.7125     1 +- 0.034873      2.24301e-09 +- 520.666     0      0  
-0.3     0.7375     1 +- 0.0379492      3.88094e-09 +- 430.744     0      0  
-0.3     0.7625     1 +- 0.0404367      1.20204e-08 +- 260.796     0      0  
-0.3     0.7875     1 +- 0.045159      9.16756e-09 +- 333.505     0      0  
-0.3     0.8125     1 +- 0.0481908      2.06639e-08 +- 237.051     0      0  
-0.3     0.8375     1 +- 0.0520179      7.29381e-08 +- 136.195     0      0  
-0.3     0.8625     1 +- 0.0555626      1.26005e-07 +- 110.681     0      0  
-0.3     0.8875     0.999999 +- 0.0663797      7.89089e-07 +- 52.8393     0      0  
-0.3     0.9125     0.999998 +- 0.0743983      2.30609e-06 +- 34.6426     0      0  
-0.3     0.9375     0.999972 +- 0.0879714      2.79e-05 +- 11.7768     0      0  
-0.3     0.9625     0.99987 +- 0.0980821      0.000130309 +- 6.07578     0      0  
-0.3     0.9875     0.99927 +- 0.0964874      0.000730386 +- 2.52498     0      0  
